Day of Epi Dt,Rolling Two Week,County Parameter Cum Curve,Confirmed Cases By Epi Dt
"September 25, 2020",Preliminary Data,Dane County,13
"September 24, 2020",Preliminary Data,Dane County,16
"September 23, 2020",Preliminary Data,Dane County,58
"September 22, 2020",Preliminary Data,Dane County,100
"September 21, 2020",Preliminary Data,Dane County,122
"September 20, 2020",Preliminary Data,Dane County,60
"September 19, 2020",Preliminary Data,Dane County,67
"September 18, 2020",Preliminary Data,Dane County,106
"September 17, 2020",Preliminary Data,Dane County,140
"September 16, 2020",Preliminary Data,Dane County,163
"September 15, 2020",Preliminary Data,Dane County,164
"September 14, 2020",Preliminary Data,Dane County,200
"September 13, 2020",Preliminary Data,Dane County,76
"September 12, 2020",,Dane County,106
"September 11, 2020",,Dane County,162
"September 10, 2020",,Dane County,177
"September 9, 2020",,Dane County,255
"September 8, 2020",,Dane County,322
"September 7, 2020",,Dane County,148
"September 6, 2020",,Dane County,136
"September 5, 2020",,Dane County,137
"September 4, 2020",,Dane County,201
"September 3, 2020",,Dane County,200
"September 2, 2020",,Dane County,207
"September 1, 2020",,Dane County,173
"August 31, 2020",,Dane County,175
"August 30, 2020",,Dane County,82
"August 29, 2020",,Dane County,66
"August 28, 2020",,Dane County,66
"August 27, 2020",,Dane County,86
"August 26, 2020",,Dane County,72
"August 25, 2020",,Dane County,98
"August 24, 2020",,Dane County,61
"August 23, 2020",,Dane County,37
"August 22, 2020",,Dane County,33
"August 21, 2020",,Dane County,48
"August 20, 2020",,Dane County,32
"August 19, 2020",,Dane County,46
"August 18, 2020",,Dane County,52
"August 17, 2020",,Dane County,47
"August 16, 2020",,Dane County,22
"August 15, 2020",,Dane County,30
"August 14, 2020",,Dane County,38
"August 13, 2020",,Dane County,33
"August 12, 2020",,Dane County,50
"August 11, 2020",,Dane County,56
"August 10, 2020",,Dane County,46
"August 9, 2020",,Dane County,27
"August 8, 2020",,Dane County,36
"August 7, 2020",,Dane County,39
"August 6, 2020",,Dane County,48
"August 5, 2020",,Dane County,45
"August 4, 2020",,Dane County,53
"August 3, 2020",,Dane County,63
"August 2, 2020",,Dane County,28
"August 1, 2020",,Dane County,58
"July 31, 2020",,Dane County,31
"July 30, 2020",,Dane County,54
