Day of Epi Dt,County Parameter Cum Curve,Running Sum of Confirmed Cases By Epi Dt,Confirmed Cases By Epi Dt
"January 22, 2020",Dane County,0,0
"January 23, 2020",Dane County,0,0
"January 24, 2020",Dane County,0,0
"January 25, 2020",Dane County,0,0
"January 26, 2020",Dane County,0,0
"January 27, 2020",Dane County,0,0
"January 28, 2020",Dane County,0,0
"January 29, 2020",Dane County,1,1
"January 30, 2020",Dane County,1,0
"January 31, 2020",Dane County,1,0
"February 1, 2020",Dane County,1,0
"February 2, 2020",Dane County,1,0
"February 3, 2020",Dane County,1,0
"February 4, 2020",Dane County,1,0
"February 5, 2020",Dane County,1,0
"February 6, 2020",Dane County,1,0
"February 7, 2020",Dane County,1,0
"February 8, 2020",Dane County,1,0
"February 9, 2020",Dane County,1,0
"February 10, 2020",Dane County,1,0
"February 11, 2020",Dane County,1,0
"February 12, 2020",Dane County,1,0
"February 13, 2020",Dane County,1,0
"February 14, 2020",Dane County,1,0
"February 15, 2020",Dane County,1,0
"February 16, 2020",Dane County,1,0
"February 17, 2020",Dane County,1,0
"February 18, 2020",Dane County,1,0
"February 19, 2020",Dane County,1,0
"February 20, 2020",Dane County,1,0
"February 21, 2020",Dane County,1,0
"February 22, 2020",Dane County,1,0
"February 23, 2020",Dane County,1,0
"February 24, 2020",Dane County,1,0
"February 25, 2020",Dane County,1,0
"February 26, 2020",Dane County,1,0
"February 27, 2020",Dane County,1,0
"February 28, 2020",Dane County,2,1
"February 29, 2020",Dane County,2,0
"March 1, 2020",Dane County,2,0
"March 2, 2020",Dane County,3,1
"March 3, 2020",Dane County,4,1
"March 4, 2020",Dane County,5,1
"March 5, 2020",Dane County,5,0
"March 6, 2020",Dane County,9,4
"March 7, 2020",Dane County,11,2
"March 8, 2020",Dane County,11,0
"March 9, 2020",Dane County,14,3
"March 10, 2020",Dane County,15,1
"March 11, 2020",Dane County,21,6
"March 12, 2020",Dane County,27,6
"March 13, 2020",Dane County,38,11
"March 14, 2020",Dane County,55,17
"March 15, 2020",Dane County,73,18
"March 16, 2020",Dane County,89,16
"March 17, 2020",Dane County,114,25
"March 18, 2020",Dane County,132,18
"March 19, 2020",Dane County,151,19
"March 20, 2020",Dane County,166,15
"March 21, 2020",Dane County,181,15
"March 22, 2020",Dane County,198,17
"March 23, 2020",Dane County,220,22
"March 24, 2020",Dane County,227,7
"March 25, 2020",Dane County,240,13
"March 26, 2020",Dane County,254,14
"March 27, 2020",Dane County,274,20
"March 28, 2020",Dane County,286,12
"March 29, 2020",Dane County,301,15
"March 30, 2020",Dane County,311,10
"March 31, 2020",Dane County,316,5
"April 1, 2020",Dane County,322,6
"April 2, 2020",Dane County,335,13
"April 3, 2020",Dane County,344,9
"April 4, 2020",Dane County,355,11
"April 5, 2020",Dane County,359,4
"April 6, 2020",Dane County,369,10
"April 7, 2020",Dane County,377,8
"April 8, 2020",Dane County,378,1
"April 9, 2020",Dane County,384,6
"April 10, 2020",Dane County,389,5
"April 11, 2020",Dane County,390,1
"April 12, 2020",Dane County,395,5
"April 13, 2020",Dane County,397,2
"April 14, 2020",Dane County,399,2
"April 15, 2020",Dane County,404,5
"April 16, 2020",Dane County,409,5
"April 17, 2020",Dane County,414,5
"April 18, 2020",Dane County,423,9
"April 19, 2020",Dane County,426,3
"April 20, 2020",Dane County,445,19
"April 21, 2020",Dane County,449,4
"April 22, 2020",Dane County,461,12
"April 23, 2020",Dane County,470,9
"April 24, 2020",Dane County,485,15
"April 25, 2020",Dane County,498,13
"April 26, 2020",Dane County,507,9
"April 27, 2020",Dane County,512,5
"April 28, 2020",Dane County,519,7
"April 29, 2020",Dane County,521,2
"April 30, 2020",Dane County,526,5
"May 1, 2020",Dane County,529,3
"May 2, 2020",Dane County,532,3
"May 3, 2020",Dane County,536,4
"May 4, 2020",Dane County,540,4
"May 5, 2020",Dane County,541,1
"May 6, 2020",Dane County,549,8
"May 7, 2020",Dane County,557,8
"May 8, 2020",Dane County,563,6
"May 9, 2020",Dane County,572,9
"May 10, 2020",Dane County,575,3
"May 11, 2020",Dane County,585,10
"May 12, 2020",Dane County,591,6
"May 13, 2020",Dane County,612,21
"May 14, 2020",Dane County,633,21
"May 15, 2020",Dane County,651,18
"May 16, 2020",Dane County,659,8
"May 17, 2020",Dane County,669,10
"May 18, 2020",Dane County,687,18
"May 19, 2020",Dane County,711,24
"May 20, 2020",Dane County,722,11
"May 21, 2020",Dane County,744,22
"May 22, 2020",Dane County,762,18
"May 23, 2020",Dane County,770,8
"May 24, 2020",Dane County,773,3
"May 25, 2020",Dane County,777,4
"May 26, 2020",Dane County,797,20
"May 27, 2020",Dane County,819,22
"May 28, 2020",Dane County,831,12
"May 29, 2020",Dane County,847,16
"May 30, 2020",Dane County,857,10
"May 31, 2020",Dane County,863,6
"June 1, 2020",Dane County,876,13
"June 2, 2020",Dane County,904,28
"June 3, 2020",Dane County,915,11
"June 4, 2020",Dane County,940,25
"June 5, 2020",Dane County,952,12
"June 6, 2020",Dane County,972,20
"June 7, 2020",Dane County,976,4
"June 8, 2020",Dane County,996,20
"June 9, 2020",Dane County,1047,51
"June 10, 2020",Dane County,1056,9
"June 11, 2020",Dane County,1076,20
"June 12, 2020",Dane County,1092,16
"June 13, 2020",Dane County,1103,11
"June 14, 2020",Dane County,1118,15
"June 15, 2020",Dane County,1165,47
"June 16, 2020",Dane County,1207,42
"June 17, 2020",Dane County,1237,30
