STATION,NAME,DATE,AWND,DAPR,MDPR,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,WDF2,WDF5,WESD,WESF,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09
US1WIDA0009,"MADISON 3.2 WSW, WI US",3/30/2017,,,,,0.5,,,,,,,,,,,,,,,,,,,,
US1WIDA0009,"MADISON 3.2 WSW, WI US",4/1/2017,,,,,0,,,,,,,,,,,,,,,,,,,,
US1WIDA0009,"MADISON 3.2 WSW, WI US",4/2/2017,,,,,0,,,,,,,,,,,,,,,,,,,,
US1WIDA0009,"MADISON 3.2 WSW, WI US",4/3/2017,,,,,0.07,,,,,,,,,,,,,,,,,,,,
US1WIDA0009,"MADISON 3.2 WSW, WI US",4/4/2017,,,,,0.44,,,,,,,,,,,,,,,,,,,,
US1WIDA0009,"MADISON 3.2 WSW, WI US",4/5/2017,,,,,0.15,,,,,,,,,,,,,,,,,,,,
US1WIDA0009,"MADISON 3.2 WSW, WI US",4/6/2017,,,,,0.16,,,,,,,,,,,,,,,,,,,,
US1WIDA0009,"MADISON 3.2 WSW, WI US",4/7/2017,,,,,0,,,,,,,,,,,,,,,,,,,,
US1WIDA0009,"MADISON 3.2 WSW, WI US",4/8/2017,,,,,0,,,,,,,,,,,,,,,,,,,,
US1WIDA0009,"MADISON 3.2 WSW, WI US",4/9/2017,,,,,0,,,,,,,,,,,,,,,,,,,,
US1WIDA0009,"MADISON 3.2 WSW, WI US",4/10/2017,,,,,0,,,,,,,,,,,,,,,,,,,,
US1WIDA0009,"MADISON 3.2 WSW, WI US",4/11/2017,,,,,0.02,,,,,,,,,,,,,,,,,,,,
US1WIDA0009,"MADISON 3.2 WSW, WI US",4/12/2017,,,,,0,,,,,,,,,,,,,,,,,,,,
US1WIDA0009,"MADISON 3.2 WSW, WI US",4/13/2017,,,,,0.31,,,,,,,,,,,,,,,,,,,,
US1WIDA0009,"MADISON 3.2 WSW, WI US",4/14/2017,,,,,0,,,,,,,,,,,,,,,,,,,,
US1WIDA0009,"MADISON 3.2 WSW, WI US",4/15/2017,,,,,0.38,,,,,,,,,,,,,,,,,,,,
US1WIDA0009,"MADISON 3.2 WSW, WI US",4/16/2017,,,,,0.6,,,,,,,,,,,,,,,,,,,,
US1WIDA0009,"MADISON 3.2 WSW, WI US",4/17/2017,,,,,0,,,,,,,,,,,,,,,,,,,,
US1WIDA0009,"MADISON 3.2 WSW, WI US",4/18/2017,,,,,0,,,,,,,,,,,,,,,,,,,,
US1WIDA0009,"MADISON 3.2 WSW, WI US",4/19/2017,,,,,0,,,,,,,,,,,,,,,,,,,,
US1WIDA0009,"MADISON 3.2 WSW, WI US",4/20/2017,,,,,0.48,,,,,,,,,,,,,,,,,,,,
US1WIDA0009,"MADISON 3.2 WSW, WI US",4/21/2017,,,,,0,,,,,,,,,,,,,,,,,,,,
US1WIDA0009,"MADISON 3.2 WSW, WI US",4/22/2017,,,,,0,,,,,,,,,,,,,,,,,,,,
US1WIDA0009,"MADISON 3.2 WSW, WI US",4/23/2017,,,,,0,,,,,,,,,,,,,,,,,,,,
US1WIDA0009,"MADISON 3.2 WSW, WI US",4/24/2017,,,,,0,,,,,,,,,,,,,,,,,,,,
US1WIDA0009,"MADISON 3.2 WSW, WI US",4/25/2017,,,,,0,,,,,,,,,,,,,,,,,,,,
US1WIDA0009,"MADISON 3.2 WSW, WI US",5/8/2017,,,,,0,,,,,,,,,,,,,,,,,,,,
US1WIDA0009,"MADISON 3.2 WSW, WI US",5/9/2017,,,,,0.22,,,,,,,,,,,,,,,,,,,,
US1WIDA0009,"MADISON 3.2 WSW, WI US",5/10/2017,,,,,0,,,,,,,,,,,,,,,,,,,,
US1WIDA0009,"MADISON 3.2 WSW, WI US",5/11/2017,,,,,0.1,,,,,,,,,,,,,,,,,,,,
