date,county,cases,deaths,new_cases,new_deaths,state,retail,grocery,parks,transit,workplaces,residential
2020-02-15,Dane,1,0,0.0,0.0,Wisconsin,10.0,8.0,10.0,-5.0,7.0,-1.0
2020-02-16,Dane,1,0,0.0,0.0,Wisconsin,9.0,6.0,18.0,-8.0,6.0,-1.0
2020-02-17,Dane,1,0,0.0,0.0,Wisconsin,-16.0,-10.0,-21.0,-6.0,-2.0,4.0
2020-02-18,Dane,1,0,0.0,0.0,Wisconsin,0.0,7.0,7.0,10.0,0.0,0.0
2020-02-19,Dane,1,0,0.0,0.0,Wisconsin,-2.0,2.0,-8.0,-3.0,1.0,0.0
2020-02-20,Dane,1,0,0.0,0.0,Wisconsin,-3.0,0.0,-12.0,2.0,1.0,0.0
2020-02-21,Dane,1,0,0.0,0.0,Wisconsin,4.0,0.0,-1.0,9.0,2.0,0.0
2020-02-22,Dane,1,0,0.0,0.0,Wisconsin,9.0,10.0,28.0,9.0,8.0,-2.0
2020-02-23,Dane,1,0,0.0,0.0,Wisconsin,12.0,8.0,55.0,18.0,7.0,-2.0
2020-02-24,Dane,1,0,0.0,0.0,Wisconsin,0.0,5.0,-7.0,1.0,5.0,0.0
2020-02-25,Dane,1,0,0.0,0.0,Wisconsin,-5.0,0.0,-7.0,5.0,2.0,1.0
2020-02-26,Dane,1,0,0.0,0.0,Wisconsin,-1.0,2.0,-4.0,7.0,1.0,0.0
2020-02-27,Dane,1,0,0.0,0.0,Wisconsin,3.0,4.0,-2.0,8.0,2.0,0.0
2020-02-28,Dane,1,0,0.0,0.0,Wisconsin,9.0,3.0,0.0,7.0,0.0,0.0
2020-02-29,Dane,1,0,0.0,0.0,Wisconsin,17.0,13.0,12.0,4.0,8.0,-2.0
2020-03-01,Dane,1,0,0.0,0.0,Wisconsin,16.0,13.0,73.0,7.0,6.0,-2.0
2020-03-02,Dane,1,0,0.0,0.0,Wisconsin,3.0,5.0,2.0,-6.0,5.0,0.0
2020-03-03,Dane,1,0,0.0,0.0,Wisconsin,2.0,6.0,1.0,0.0,-1.0,1.0
2020-03-04,Dane,1,0,0.0,0.0,Wisconsin,4.0,6.0,17.0,1.0,2.0,-1.0
2020-03-05,Dane,1,0,0.0,0.0,Wisconsin,2.0,4.0,-7.0,5.0,3.0,0.0
2020-03-06,Dane,1,0,0.0,0.0,Wisconsin,8.0,5.0,10.0,5.0,6.0,-1.0
2020-03-07,Dane,1,0,0.0,0.0,Wisconsin,12.0,12.0,44.0,7.0,12.0,-2.0
2020-03-08,Dane,1,0,0.0,0.0,Wisconsin,11.0,12.0,128.0,8.0,7.0,-2.0
2020-03-09,Dane,1,0,0.0,0.0,Wisconsin,-2.0,1.0,-27.0,-11.0,4.0,1.0
2020-03-09,Pierce,1,0,,,Wisconsin,6.0,2.0,,,4.0,0.0
2020-03-10,Dane,2,0,1.0,0.0,Wisconsin,3.0,9.0,36.0,-4.0,2.0,0.0
2020-03-10,Pierce,1,0,0.0,0.0,Wisconsin,5.0,10.0,,,-1.0,1.0
2020-03-11,Dane,2,0,0.0,0.0,Wisconsin,3.0,14.0,4.0,0.0,1.0,0.0
2020-03-11,Pierce,1,0,0.0,0.0,Wisconsin,-3.0,7.0,,,1.0,0.0
2020-03-11,Waukesha,1,0,,,Wisconsin,3.0,5.0,6.0,-1.0,1.0,0.0
2020-03-12,Dane,4,0,2.0,0.0,Wisconsin,2.0,30.0,1.0,-1.0,0.0,2.0
2020-03-12,Pierce,1,0,0.0,0.0,Wisconsin,1.0,20.0,,,-1.0,2.0
2020-03-12,Waukesha,1,0,0.0,0.0,Wisconsin,8.0,27.0,31.0,-3.0,1.0,1.0
2020-03-13,Dane,5,0,1.0,0.0,Wisconsin,-2.0,32.0,15.0,1.0,-2.0,3.0
2020-03-13,Milwaukee,2,0,,,Wisconsin,3.0,31.0,26.0,-4.0,-2.0,2.0
2020-03-13,Pierce,1,0,0.0,0.0,Wisconsin,6.0,34.0,,,-2.0,2.0
2020-03-13,Racine,1,0,,,Wisconsin,4.0,26.0,20.0,-2.0,-5.0,2.0
2020-03-13,Sheboygan,3,0,,,Wisconsin,6.0,28.0,16.0,8.0,-1.0,1.0
2020-03-13,Waukesha,1,0,0.0,0.0,Wisconsin,4.0,33.0,23.0,-1.0,0.0,2.0
2020-03-14,Dane,6,0,1.0,0.0,Wisconsin,-19.0,22.0,-6.0,-7.0,1.0,5.0
2020-03-14,Milwaukee,6,0,4.0,0.0,Wisconsin,-7.0,25.0,-9.0,-9.0,0.0,2.0
2020-03-14,Pierce,1,0,0.0,0.0,Wisconsin,1.0,32.0,,,0.0,
2020-03-14,Racine,1,0,0.0,0.0,Wisconsin,2.0,24.0,-1.0,-2.0,2.0,2.0
2020-03-14,Sheboygan,3,0,0.0,0.0,Wisconsin,-4.0,35.0,11.0,8.0,1.0,4.0
