time,temp,dew,humidity,wind,windspeed,gust,pressure,precip,cond,date,hour
12:53 AM,59,54,83,N,3,0,29.0,0.0,Mostly Cloudy,2015-7-1,1
1:18 AM,59,54,83,NNE,5,0,28.99,0.0,Mostly Cloudy,2015-7-1,1
1:37 AM,59,55,87,CALM,0,0,29.0,0.0,Cloudy,2015-7-1,2
1:53 AM,60,55,83,CALM,0,0,29.0,0.0,Cloudy,2015-7-1,2
2:53 AM,61,57,87,CALM,0,0,29.01,0.0,Cloudy,2015-7-1,3
3:06 AM,60,53,78,NE,14,17,29.02,0.0,Cloudy,2015-7-1,3
3:53 AM,59,47,64,NE,8,0,29.02,0.0,Cloudy,2015-7-1,4
4:53 AM,56,48,75,N,7,0,29.03,0.0,Cloudy,2015-7-1,5
5:53 AM,56,48,75,NNE,7,0,29.04,0.0,Cloudy,2015-7-1,6
6:53 AM,56,46,69,NNE,8,0,29.06,0.0,Mostly Cloudy,2015-7-1,7
7:20 AM,57,47,69,NNE,9,0,29.06,0.0,Mostly Cloudy,2015-7-1,7
7:53 AM,58,47,67,N,5,0,29.06,0.0,Mostly Cloudy,2015-7-1,8
8:53 AM,61,45,56,N,3,0,29.07,0.0,Fair,2015-7-1,9
9:53 AM,63,47,56,N,6,0,29.06,0.0,Partly Cloudy,2015-7-1,10
10:53 AM,65,47,52,VAR,6,0,29.06,0.0,Partly Cloudy,2015-7-1,11
11:53 AM,67,47,49,NW,6,0,29.07,0.0,Mostly Cloudy,2015-7-1,12
12:53 PM,67,47,49,NNW,9,0,29.06,0.0,Mostly Cloudy,2015-7-1,13
1:53 PM,69,48,47,VAR,6,0,29.06,0.0,Mostly Cloudy,2015-7-1,14
2:53 PM,70,49,47,NNE,9,0,29.05,0.0,Cloudy,2015-7-1,15
3:53 PM,69,49,49,NNE,9,0,29.04,0.0,Cloudy,2015-7-1,16
4:53 PM,67,50,54,N,7,0,29.05,0.0,Cloudy,2015-7-1,17
5:53 PM,67,51,57,NE,5,0,29.05,0.0,Cloudy,2015-7-1,18
6:53 PM,68,51,55,NE,3,0,29.05,0.0,Mostly Cloudy,2015-7-1,19
7:53 PM,66,53,63,NE,3,0,29.06,0.0,Mostly Cloudy,2015-7-1,20
8:53 PM,61,52,72,CALM,0,0,29.07,0.0,Partly Cloudy,2015-7-1,21
9:53 PM,59,51,75,E,6,0,29.09,0.0,Fair,2015-7-1,22
10:53 PM,58,53,84,SE,7,0,29.09,0.0,Fair,2015-7-1,23
11:53 PM,56,51,84,SE,5,0,29.09,0.0,Fair,2015-7-1,24
12:53 AM,53,49,86,CALM,0,0,29.09,0.0,Fair,2015-7-2,1
1:53 AM,52,50,93,CALM,0,0,29.1,0.0,Fair,2015-7-2,2
2:21 AM,51,49,92,CALM,0,0,29.1,0.0,Fog,2015-7-2,2
2:30 AM,51,49,92,CALM,0,0,29.1,0.0,Fair,2015-7-2,2
2:46 AM,51,49,92,CALM,0,0,29.09,0.0,Fog,2015-7-2,3
2:53 AM,50,48,93,NE,3,0,29.09,0.0,Partly Cloudy,2015-7-2,3
3:38 AM,49,48,97,CALM,0,0,29.1,0.0,Fog,2015-7-2,4
3:46 AM,49,47,93,CALM,0,0,29.1,0.0,Fair,2015-7-2,4
3:53 AM,50,48,93,N,3,0,29.1,0.0,Fair,2015-7-2,4
4:04 AM,49,47,93,N,3,0,29.1,0.0,Fog,2015-7-2,4
4:21 AM,49,47,93,NNW,3,0,29.11,0.0,Fog,2015-7-2,4
4:35 AM,49,47,93,CALM,0,0,29.1,0.0,Fair,2015-7-2,5
4:53 AM,49,47,93,WNW,3,0,29.11,0.0,Fair,2015-7-2,5
5:13 AM,48,46,93,NNW,3,0,29.11,0.0,Fog,2015-7-2,5
5:27 AM,47,45,93,NNW,5,0,29.11,0.0,Fog,2015-7-2,5
5:35 AM,48,46,93,NNW,5,0,29.11,0.0,Fair,2015-7-2,6
5:53 AM,48,46,93,NNW,3,0,29.11,0.0,Fair,2015-7-2,6
6:53 AM,51,48,89,NNW,7,0,29.13,0.0,Fair,2015-7-2,7
7:53 AM,56,49,77,NE,7,0,29.13,0.0,Fair,2015-7-2,8
